years,team_a,team_b,score_a,score_b,pk_a,pk_b
2006,Croatia,Australia,2,2,0,0
2006,France,Switzerland,0,0,0,0
2006,South Korea,Togo,2,1,0,0
2006,France,South Korea,1,1,0,0
2006,Togo,Switzerland,0,2,0,0
2006,Togo,France,0,2,0,0
2006,Switzerland,South Korea,2,0,0,0
2006,Spain,Ukraine,4,0,0,0
2006,Tunisia,Saudi Arabia,2,2,0,0
2006,Spain,Tunisia,3,1,0,0
2006,Saudi Arabia,Ukraine,0,4,0,0
2006,Saudi Arabia,Spain,0,1,0,0
2006,Ukraine,Tunisia,1,0,0,0
2006,Germany,Sweden,2,0,0,0
2006,Argentina,Mexico,2,1,0,0
2006,England,Ecuador,1,0,0,0
2006,Portugal,Netherlands,1,0,0,0
2006,Italy,Australia,1,0,0,0
2006,Switzerland,Ukraine,0,0,0,0
2006,Brazil,Ghana,3,0,0,0
2006,Spain,France,1,3,0,0
2006,Germany,Italy,0,2,0,0
2006,Italy,Ukraine,3,0,0,0
2006,England,Portugal,0,0,0,0
2006,Brazil,France,0,1,0,0
2006,Germany,Argentina,1,1,0,0
2006,Portugal,France,0,1,0,0
2006,Germany,Portugal,3,1,0,0
2006,Italy,France,1,1,0,0
2010,South Africa,Mexico,1,1,0,0
2010,Uruguay,France,0,0,0,0
2010,South Africa,Uruguay,0,3,0,0
2010,France,Mexico,0,2,0,0
2010,Mexico,Uruguay,0,1,0,0
2010,France,South Africa,1,2,0,0
2010,South Korea,Greece,2,0,0,0
2010,Argentina,Nigeria,1,0,0,0
2010,Argentina,South Korea,4,1,0,0
2010,Greece,Nigeria,2,1,0,0
2010,Nigeria,South Korea,2,2,0,0
2010,Greece,Argentina,0,2,0,0
2010,England,United States,1,1,0,0
2010,Algeria,Slovenia,1,1,0,0
2010,Slovenia,United States,2,2,0,0
2010,England,Algeria,0,0,0,0
2010,United States,Algeria,1,0,0,0
2010,Slovenia,England,0,1,0,0
2010,Serbia,Ghana,0,1,0,0
2010,Germany,Australia,4,0,0,0
2010,Germany,Serbia,0,1,0,0
2010,Ghana,Australia,1,1,0,0
2010,Australia,Serbia,1,1,0,0
2010,Ghana,Germany,1,1,0,0
2010,Netherlands,Denmark,2,0,0,0
2010,Japan,Cameroon,1,0,0,0
2010,Netherlands,Japan,1,0,0,0
2010,Cameroon,Denmark,1,2,0,0
2010,Denmark,Japan,1,3,0,0
2010,Cameroon,Netherlands,1,2,0,0
2010,Italy,Paraguay,1,1,0,0
2010,New Zealand,Slovakia,1,1,0,0
2010,Slovakia,Paraguay,0,2,0,0
2010,Italy,New Zealand,1,1,0,0
2010,Slovakia,Italy,3,2,0,0
2010,Paraguay,New Zealand,0,0,0,0
2010,Cote d'Ivoire,Portugal,0,0,0,0
2010,Brazil,North Korea,2,1,0,0
2010,Brazil,Cote d'Ivoire,3,1,0,0
2010,Portugal,North Korea,7,0,0,0
2010,Portugal,Brazil,0,0,0,0
2010,North Korea,Cote d'Ivoire,0,3,0,0
2010,Honduras,Chile,0,1,0,0
2010,Spain,Switzerland,0,1,0,0
2010,Chile,Switzerland,1,0,0,0
2010,Spain,Honduras,2,0,0,0
2010,Chile,Spain,1,2,0,0
2010,Switzerland,Honduras,0,0,0,0
2010,Uruguay,South Korea,2,1,0,0
2010,United States,Ghana,1,2,0,0
2010,Germany,England,4,1,0,0
2010,Argentina,Mexico,3,1,0,0
2010,Netherlands,Slovakia,2,1,0,0
2010,Brazil,Chile,3,0,0,0
2010,Paraguay,Japan,5,3,0,0
2010,Spain,Portugal,1,0,0,0
2010,Netherlands,Brazil,2,1,0,0
2010,Uruguay,Ghana,2,1,0,0
2010,Argentina,Germany,0,4,0,0
2010,Paraguay,Spain,0,1,0,0
2010,Uruguay,Netherlands,2,3,0,0
2010,Germany,Spain,0,1,0,0
2010,Uruguay,Germany,2,3,0,0
2010,Netherlands,0-1nV,2,3,0,0
2014,Brazil,Croatia,3,1,0,0
2014,Mexico,Cameroon,1,0,0,0
2014,Brazil,Mexico,1,0,0,0
2014,Cameroon,Croatia,1,0,0,0
2014,Cameroon,Brazil,1,0,0,0
2014,Croatia,Mexico,1,0,0,0
2014,Spain,Netherlands,1,5,0,0
2014,Chile,Australia,3,1,0,0
2014,Spain,Chile,3,1,0,0
2014,Australia,Netherlands,3,1,0,0
2014,Australia,Spain,3,1,0,0
2014,Netherlands,Chile,3,1,0,0
2014,Colombia,Greece,3,1,0,0
2014,Cote d'Ivoire,Japan,3,1,0,0
2014,Colombia,Cote d'Ivoire,3,1,0,0
2014,Japan,Greece,3,1,0,0
2014,Japan,Colombia,3,1,0,0
2014,Greece,Cote d'Ivoire,3,1,0,0
2014,Uruguay,Costa Rica,3,1,0,0
2014,England,Italy,3,1,0,0
2014,Uruguay,England,3,1,0,0
2014,Italy,Costa Rica,3,1,0,0
2014,Italy,Uruguay,3,1,0,0
2014,Costa Rica,England,3,1,0,0
2014,Switzerland,Ecuador,3,1,0,0
2014,France,Honduras,3,1,0,0
2014,Switzerland,France,3,1,0,0
2014,Honduras,Ecuador,3,1,0,0
2014,Honduras,Switzerland,3,1,0,0
2014,Ecuador,France,3,1,0,0
2014,Argentina,Bosnia-Herzegovina,3,1,0,0
2014,Iran,Nigeria,3,1,0,0
2014,Argentina,Iran,3,1,0,0
2014,Nigeria,Bosnia-Herzegovina,3,1,0,0
2014,Nigeria,Argentina,3,1,0,0
2014,Bosnia-Herzegovina,Iran,3,1,0,0
2014,Germany,Portugal,3,1,0,0
2014,Ghana,United States,3,1,0,0
2014,Germany,Ghana,3,1,0,0
2014,United States,Portugal,3,1,0,0
2014,United States,Germany,3,1,0,0
2014,Portugal,Ghana,3,1,0,0
2014,Belgium,Algeria,3,1,0,0
2014,Russia,South Korea,3,1,0,0
2014,Belgium,Russia,3,1,0,0
2014,South Korea,Algeria,3,1,0,0
2014,South Korea,Belgium,3,1,0,0
2014,Algeria,Russia,3,1,0,0
2014,Brazil,Chile,1,1,3,2
2014,Colombia,Uruguay,2,0,0,0
2014,Netherlands,Mexico,2,1,0,0
2014,Costa Rica,Greece,1,1,5,3
2014,France,Nigeria,2,0,0,0
2014,Germany,Algeria,2,1,0,0
2014,Argentina,Switzerland,1,0,0,0
2014,Belgium,United States,2,1,0,0
2014,Brazil,Colombia,2,1,0,0
2014,France,Germany,0,1,0,0
2014,Netherlands,Costa Rica,0,0,4,3
2014,Argentina,Belgium,1,0,0,0
2014,Brazil,Germany,1,7,0,0
2014,Netherlands,Argentina,0,0,2,4
2014,Brazil,Netherlands,0,3,0,0
2014,Germany,Argentina,1,0,0,0
2018,Russia,Egypt,3,1,0,0
2018,Uruguay,Saudi Arabia,1,0,0,0
2018,Portugal,Morocco,1,0,0,0
2018,Iran,Spain,0,1,0,0
2018,Costa Rica,Serbia,0,1,0,0
2018,Germany,Mexico,0,1,0,0
2018,Sweden,South Korea,1,0,0,0
2018,Belgium,Panama,3,0,0,0
2018,Tunisia,England,1,2,0,0
2018,Colombia,Japan,1,2,0,0
2018,Poland,Senegal,1,2,0,0
